PNe number	x	y	[OIII] Flux	[OIII]/Hb	m 5007	M 5007
0	217.0	30.0	3.328e-17	3.0	27.45	-3.9
1	190.0	47.0	2.723e-17	3.0	27.67	-3.69
2	248.0	53.0	3.241e-17	3.0	27.48	-3.88
3	178.0	74.0	2.184e-17	3.0	27.91	-3.45
4	228.0	95.0	2.306e-17	3.0	27.85	-3.51
5	292.0	103.0	2.145e-17	3.0	27.93	-3.43
6	164.0	108.0	5.455e-17	3.0	26.92	-4.44
7	175.0	114.0	2.798e-17	3.0	27.64	-3.72
8	290.0	118.0	2.307e-17	3.0	27.85	-3.51
9	240.0	120.0	4.812e-17	3.0	27.05	-4.31
10	204.0	126.0	4.801e-17	3.0	27.06	-4.3
11	280.0	126.0	4.844e-17	3.0	27.05	-4.31
12	145.0	129.0	4.279e-17	3.0	27.18	-4.18
13	151.0	136.0	3.377e-17	3.0	27.44	-3.92
14	170.0	136.0	4.755e-17	3.0	27.07	-4.29
15	196.0	138.0	2.457e-17	3.0	27.78	-3.58
16	224.0	140.0	5.547e-17	3.0	26.9	-4.46
17	108.0	144.0	3.337e-17	3.0	27.45	-3.91
18	168.0	152.0	2.219e-17	3.0	27.89	-3.46
19	87.0	157.0	4.189e-17	3.0	27.2	-4.15
20	168.0	162.0	3.04e-17	3.0	27.55	-3.81
21	174.0	166.0	2.471e-17	3.0	27.78	-3.58
22	112.0	166.0	2.252e-17	3.0	27.88	-3.48
23	292.0	174.0	2.734e-17	3.0	27.67	-3.69
24	71.0	181.0	2.243e-17	3.0	27.88	-3.48
25	307.0	187.0	4.972e-17	3.0	27.02	-4.34
26	140.0	194.0	3.985e-17	3.0	27.26	-4.1
27	112.0	196.0	1.494e-17	3.0	28.32	-3.03
28	277.0	200.0	4.595e-17	3.0	27.1	-4.25
29	329.0	206.0	2.206e-17	3.0	27.9	-3.46
30	367.0	207.0	1.746e-17	3.0	28.15	-3.2
31	167.0	207.0	3.718e-17	3.0	27.33	-4.02
32	277.0	209.0	4.558e-17	3.0	27.11	-4.25
33	302.0	212.0	3.017e-17	3.0	27.56	-3.8
34	195.0	219.0	4.939e-17	3.0	27.03	-4.33
35	265.0	219.0	5.622e-17	3.0	26.89	-4.47
36	409.0	221.0	1.754e-17	3.0	28.15	-3.21
37	148.0	224.0	2.984e-17	3.0	27.57	-3.79
38	45.0	225.0	1.472e-17	3.0	28.34	-3.02
39	185.0	229.0	3.795e-17	3.0	27.31	-4.05
40	176.0	232.0	4.072e-17	3.0	27.24	-4.12
41	301.0	234.0	3.672e-17	3.0	27.35	-4.01
42	297.0	243.0	3.6e-17	3.0	27.37	-3.99
43	157.0	255.0	2.399e-17	3.0	27.81	-3.55
44	177.0	256.0	4.203e-17	3.0	27.2	-4.16
45	344.0	261.0	1.719e-17	3.0	28.17	-3.19
46	164.0	270.0	2.777e-17	3.0	27.65	-3.71
47	321.0	271.0	2.097e-17	3.0	27.96	-3.4
48	208.0	272.0	4.119e-17	3.0	27.22	-4.14
49	234.0	271.0	5.002e-17	3.0	27.01	-4.35
50	133.0	279.0	2.112e-17	3.0	27.95	-3.41
51	181.0	279.0	5.051e-17	3.0	27.0	-4.36
52	315.0	282.0	2.905e-17	3.0	27.6	-3.76
53	271.0	285.0	3.084e-17	3.0	27.54	-3.82
54	346.0	286.0	2.632e-17	3.0	27.71	-3.65
55	155.0	288.0	2.633e-17	3.0	27.71	-3.65
56	246.0	288.0	3.222e-17	3.0	27.49	-3.87
57	180.0	300.0	2.959e-17	3.0	27.58	-3.78
58	277.0	299.0	3.621e-17	3.0	27.36	-4.0
59	219.0	305.0	2.669e-17	3.0	27.69	-3.66
60	128.0	307.0	2.724e-17	3.0	27.67	-3.69
61	201.0	306.0	5.119e-17	3.0	26.99	-4.37
62	249.0	308.0	4.469e-17	3.0	27.13	-4.22
63	301.0	312.0	2.161e-17	3.0	27.92	-3.44
64	156.0	320.0	2.407e-17	3.0	27.81	-3.55
65	321.0	329.0	2.423e-17	3.0	27.8	-3.56
66	191.0	331.0	2.883e-17	3.0	27.61	-3.75
67	268.0	333.0	3.386e-17	3.0	27.44	-3.92
68	214.0	336.0	3.081e-17	3.0	27.54	-3.82
69	291.0	346.0	1.943e-17	3.0	28.04	-3.32
70	246.0	351.0	2.098e-17	3.0	27.96	-3.4
71	231.0	354.0	3.102e-17	3.0	27.53	-3.83
72	234.0	371.0	2.38e-17	3.0	27.82	-3.54
73	229.0	384.0	3.794e-17	3.0	27.31	-4.05
74	251.0	399.0	2.486e-17	3.0	27.77	-3.59
75	228.0	406.0	5.071e-17	3.0	27.0	-4.36
