PNe number	x	y	[OIII] Flux	[OIII]/Hb	m 5007	M 5007
0	178.0	119.0	3.155633466974311e-17	6.7989133117156895	27.51228361672598	-4.046485688552792
1	171.0	133.0	1.140432795651833e-17	7.534471492552997	28.61732575522636	-2.941443550052412
2	203.0	151.0	2.7980035371335576e-17	24.96135077299382	27.642879352061676	-3.9158899532170963
3	145.0	155.0	7.732774536850035e-18	10.214243909177338	29.039161630713345	-2.519607674565428
4	246.0	157.0	3.004581892513054e-17	12.900635561681081	27.565539886031623	-3.9932294192471502
5	240.0	165.0	1.5676303206416728e-17	7.033049603781643	28.271890862793427	-3.286878442485346
6	261.0	170.0	2.4282174409554918e-17	18.209209431185446	27.79678106460681	-3.761988240671961
7	186.0	206.0	7.088406851273648e-18	1645.8607025493516	29.133628408321627	-2.4251408969571457
8	337.0	209.0	9.046791910418599e-18	4.455141460732935	28.868763497458026	-2.6900058078207465
9	250.0	214.0	3.647838871619036e-17	8.944322154606146	27.354910882761587	-4.203858422517186
10	311.0	216.0	1.3907159001123282e-17	4.897374730012209	28.401903950029237	-3.1568653552495363
11	331.0	217.0	9.024950171762533e-18	21.96994420744665	28.871387968067758	-2.687381337211015
12	357.0	217.0	1.553741554828565e-17	10.085138742641472	28.28155304724553	-3.277216258033242
13	203.0	230.0	2.5687743036356172e-17	17.912157235174725	27.73568512955557	-3.823084175723203
14	283.0	232.0	3.084070399910499e-17	2.0426558614167667	27.53718929222739	-4.021580013051384
15	395.0	236.0	1.3582576825793796e-17	10.881286352164318	28.427544574575293	-3.1312247307034795
16	324.0	245.0	1.274630690787449e-17	1.7204587397308613	28.49653907177366	-3.0622302335051117
17	361.0	253.0	9.659933222717184e-18	1864.1034853944584	28.797564689423403	-2.7612046158553696
18	275.0	259.0	1.4550952631792263e-17	2.302004075369481	28.352771432642363	-3.2059978726364093
19	331.0	261.0	2.556601459225246e-17	4.747179197539501	27.740842418836543	-3.8179268864422298
20	288.0	265.0	1.3449284421123476e-17	2.5551976517154045	28.438252054994955	-3.120517250283818
21	304.0	269.0	1.5099111216874678e-17	5.778148257684541	28.312621539874222	-3.246147765404551
22	323.0	286.0	8.41535512533662e-18	3.3661646092008883	28.947318880527632	-2.6114504247511405
23	317.0	303.0	8.854829142189987e-18	5.60966486811637	28.89204953573868	-2.6667197695400944
