Galaxy x_pix y_pix "RA cen" "DEC cen"
FCC083 168.59513650810584 181.04860714943584 52.64485497293569 -34.85384167863504
FCC143 200.93932230206596 216.9072386405225 53.7491709081843 -35.1744001062894
FCC147 408.5641628132659 140.16296762425048 53.82035307671397 -35.225148104578224
FCC153 194.0134400808935 224.54348057669375 53.877242 -34.44736
FCC161 218.0673111855462 226.49209372901996 54.01628496552631 -35.44153569371007
FCC167 226.32879861339245 207.21801354593435 54.114996 -34.97568
FCC170 123.936606796366 117.4290321845702 54.1297710933248 -35.2928261338645
FCC177 210.34946432464758 200.38397670655192 54.197425 -34.73834
FCC182 208.26474888111733 220.13432018164 54.225672135614 -35.3746760924053
FCC184 208.15352755546758 220.870786465943 54.236622322391284 -35.506796247228195
FCC190 291.97403971291317 316.46847525823796 54.285738924547516 -35.19399534180646
FCC193 169.29832098258953 406.93185203401 54.298878519255254 -35.74546038675217
FCC219 190.5258158983097 110.03774679368178 54.71430678863394 -35.588282745943864
FCC249 220.96527006360733 88.19924800972984 55.179975 -37.50665
FCC255 246.9049569249711 333.6439608979711 55.2664991233816 -33.7855603651104
FCC276 625.1081312460717 188.60903378066428 55.586956328552056 -35.39108862493421
FCC277 279.7076811161867 247.09602797085205 55.599362 -35.15611
FCC301 212.07274991425862 208.60810112779893 56.2648316085642 -35.973201801212
FCC310 203.1186200742966 278.27257827247183 56.55695735626921 -36.69454573130714
