,Galaxy,D PNLF,D PNLF err,dM PNLF,dM PNLF err,PNe N,PNLF N,N err,Lbol,lit Lbol,alpha2.5,alpha2.5 err up,alpha2.5 err lo,age,FUV,FUV err,NUV,NUV err,Vmag,Rmag,Bmag,sigma,M/H,Mg/Fe,Lbol p,Lbol m,lit Rmag,GALEX FUV,GALEX NUV,lit dM,lit dM err,lit Lbol p,lit Lbol m,lit PNLF N,Mass,log alpha2.5,log alpha2.5 err up,log alpha2.5 err lo
0,FCC083,18.196,0.789,31.405,0.094,52,91.2,12.647164473935225,6155921555.012122,4851065531.00737,1.481500360019133e-08,2.332500534040337e-09,2.5026762737461223e-09,13.2,,,,,11.95,11.51,,103,-0.2,0.26,557184936.4709969,485556182.4988022,10.84,18.88,17.35,31.42,0.24,4851065531.00737,4851065531.00737,98.2,,-7.8292982386460945,0.068329732418049,0.07331496718581897
1,FCC143,26.39,2.17,32.11,0.179,15,61.9,15.982511275349271,1812169020.1260302,800333267.0254638,3.4157961709165e-08,9.785138082549286e-09,1.0843369939821165e-08,12.6,,,,,13.7,13.265,,62,-0.18,0.18,323968639.79834986,192231433.10896087,12.66,19.78,18.315,31.22,0.24,800333267.0254638,800333267.0254638,,2800000000.0,-7.466508052645597,0.12432679572583907,0.13777234701389404
2,FCC147,18.42,1.17,31.383,0.137,61,183.3,23.469160091699834,10413410400.0,6134382862.249334,1.7602302507927662e-08,3.1758212956489736e-09,2.936537424524566e-09,13.5,,,,,11.6,11.16,,131,0.04,0.23,1406229720.0,989996262.0,10.5,18.45,17.12,31.56,0.24,6134382862.249334,6134382862.249334,127.3,24000000000.0,-7.754430519624301,0.07830262215360165,0.07240287125333042
3,FCC153,22.09,1.24,31.72,0.12,32,104.9,18.54387533661721,5989757852.46783,,1.7513228845600217e-08,3.499986694353647e-09,3.7785249713963776e-09,10.7,,,,,12.4,11.96,,55,-0.05,0.11,711496784.901515,556481397.9152727,11.7,19.47,17.76,31.32,0.24,,,0.0,7600000000.0,-7.756633777357237,0.0867341047582493,0.0936366361704917
4,FCC161,20.084,0.846,31.514,0.091,97,172,17.46395404029825,10597915354.533407,6815479441.900765,1.6229606884567595e-08,2.118545211392769e-09,2.1697289671195378e-09,12.9,,,,,11.62,11.19,,96,-0.13,0.2,934197602.9970303,847887353.5454464,10.47,18.78,17.17,31.24,0.24,6815479441.900765,6815479441.900765,133.3,26300000000.0,-7.789691999578002,0.0566525503842454,0.05802126807059554
5,FCC167,17.88,0.92,31.26,0.11,98,293,29.597469555379774,17384556487.65414,14370550120.932693,1.6854039400319334e-08,2.4433722967388656e-09,2.3492741161023434e-09,13.5,,,,,10.94,10.49,,143,0.09,0.2,1891411678.3607788,1562764857.621416,9.27,17.81,16.44,31.35,0.15,14370550120.932693,14370550120.932693,312.7,98500000000.0,-7.773295995147111,0.06291806679676895,0.06049499127011053
6,FCC170,19.6,1.52,31.46,0.17,31,135,24.246715773614614,10216149315.749546,,1.3214372248052369e-08,3.095672981473471e-09,3.001994896611e-09,13.2,,,,,11.7,11.26,,113,-0.05,0.17,1718748046.9701996,1134665264.7558975,10.99,18.76,17.3,31.69,0.28,,,,8500000000.0,-7.878953463306574,0.10167127493759717,0.09859460295748819
7,FCC177,20.81,1.0,31.55,0.1,47,79.4,11.58168032493283,3791449050.0,,2.0941861265417773e-08,3.5234637079807776e-09,3.763756301967417e-09,9.8,,,,,12.76,12.35,,42,-0.14,0.11,380931732.0,326280815.0,11.8,19.81,17.91,31.49,0.28,,,,22500000000.0,-7.678984721827299,0.07302040777955424,0.07800024144708097
8,FCC182,23.34,1.16,31.84,0.11,8,21.7,7.67210857587404,1254300037.5442975,915469188.4100325,1.730048580918872e-08,5.323447728779554e-09,7.689472812979847e-09,12.6,,,,,14.25,13.83,,39,-0.22,0.11,131350934.99231172,100376688.62850046,13.58,20.34,18.96,31.44,0.28,915469188.4100325,915469188.4100325,15.4,1500000000.0,-7.761941701421054,0.133544013721466,0.19289812076032956
9,FCC184,21.74,2.61,31.686,0.261,55,122.1,16.463960641352372,8855816962.601816,5785886952.923201,1.3787547836143097e-08,4.12561064446295e-09,2.9403685003477296e-09,13.2,,,,,10.69,10.0,,143,0.21,0.19,2405447673.0345345,1385457757.7327204,10.0,16.94,16.14,31.41,0.28,5785886952.923201,5785886952.923201,,47000000000.0,-7.860512967756689,0.12986464605426135,0.09255597473291481
